StartDate,EndDate,duration_sec,prolific_id,loss3_win6,loss4_win6,loss5_win6,loss6_win6,loss7_win6,loss8_win6,loss9_win6,risk_question,age,gender,response_self_describe,highest_education,employement_status,IA usage,Data usage,why_not_usage,feedback,PROLIFIC_PID,first_block,wording,gender_clean,position,association,situation,association_clean,situation_clean
2024-07-23T10:58:07Z,2024-07-23T10:59:55Z,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,situations,loss,Female,1,sad,Lost my dog,sad,Lost my dog
2024-07-23T10:58:07Z,2024-07-23T10:59:55Z,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,situations,loss,Female,2,without,Lost a friend,without,Lost a friend
2024-07-23T10:58:07Z,2024-07-23T10:59:55Z,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,situations,loss,Female,3,left alone,Lost some money,left alone,Lost some money
2024-07-23T10:58:07Z,2024-07-23T10:59:55Z,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,situations,loss,Female,4,hard,Lost progress at work,hard,Lost progress at work
2024-07-23T10:58:07Z,2024-07-23T10:59:55Z,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,situations,loss,Female,5,grief,Lost fitness ability,grief,Lost fitness ability
2024-07-23T11:01:11Z,2024-07-23T11:06:13Z,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,situations,loss,Female,1,Incomplete,Putting my dog down,Incomplete,Putting my dog down
2024-07-23T11:01:11Z,2024-07-23T11:06:13Z,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,situations,loss,Female,2,Saddness,Forgetting to do projects related to work,sadness,Forgetting to do projects related to work
2024-07-23T11:01:11Z,2024-07-23T11:06:13Z,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,situations,loss,Female,3,Wanting,Lost my keys,Wanting,Lost my keys
2024-07-23T11:01:11Z,2024-07-23T11:06:13Z,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,situations,loss,Female,4,Missing,Lost track of time and running late to a meeting,Missing,Lost track of time and running late to a meeting
2024-07-23T11:01:11Z,2024-07-23T11:06:13Z,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,situations,loss,Female,5,Empty,Saying goodbye to my internship and the friends I made,Empty,Saying goodbye to my internship and the friends I made
